"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXXC1","CXXC1",0.207230830551779,15.3665237287527,1.8597042459394,0.0707297816645945,0.168413121016839,-5.20489929098185
"DCPS","DCPS",-0.18735418785803,17.0200677789298,-1.85878597784473,0.0708630645988148,0.168679602391009,-5.20648687653243
"PMVK","PMVK",0.129690686485588,16.4975312553954,1.85858104284212,0.0708928393095904,0.168679602391009,-5.20684109795811
"TBPL1","TBPL1",0.154777254719894,15.0429744486304,1.85850459530453,0.0709039489937356,0.168679602391009,-5.20697322596473
"MAT2B","MAT2B",-0.178782015893489,17.2647433643172,-1.85788763683057,0.0709936623949368,0.168797272597414,-5.20803938015767
"UNC45A","UNC45A",-0.154661544193253,16.816862107486,-1.85787884899777,0.0709949409534453,0.168797272597414,-5.20805456412036
"RABGAP1","RABGAP1",-0.126653226065232,16.090202417823,-1.85755459135959,0.0710421315433503,0.168860084010495,-5.20861478749044
"VAMP2","VAMP2",0.212522273641934,16.9196895493268,1.85714264090566,0.0711021230102379,0.168923813401855,-5.2093264015152
"KRT18","KRT18",-0.16033110420636,17.4406803429741,-1.85708511170742,0.0711105043007933,0.168923813401855,-5.2094257685278
"DNAJC2","DNAJC2",0.189226345558112,16.8454404803552,1.85689394922554,0.0711383603528224,0.168940616800495,-5.20975593457701
"KIF5C","KIF5C",-0.163002337103759,15.5661621211837,-1.85629259601804,0.0712260497558174,0.169099462168528,-5.21079437689942
"PKN1","PKN1",-0.255701100608366,16.0048788577919,-1.85434321341042,0.0715109427174582,0.169663921220573,-5.21415873204735
"USP48","USP48",0.193397313360684,15.446997717679,1.85417169585408,0.0715360556073918,0.169663921220573,-5.21445460615197
"MAGEA4","MAGEA4",0.159078391792626,18.5206611992583,1.85415874890444,0.0715379515511394,0.169663921220573,-5.21447693919369
"GNAO1","GNAO1",-0.24505953429766,15.7450491923494,-1.85409498183291,0.0715472901887223,0.169663921220573,-5.2145869333019
"RPRD2","RPRD2",0.159655991941879,17.1052696925572,1.85316423855973,0.0716837150961699,0.169937859439127,-5.21619204779235
"POLR3G","POLR3G",-0.433561520678619,16.6197952884349,-1.85282030640782,0.0717341834544237,0.170007923411373,-5.2167850068623
"TARBP1","TARBP1",-0.199184949857131,14.2623575449559,-1.85183010106795,0.071879654558948,0.170303034657443,-5.21849166750976
"PLEKHA4","PLEKHA4",0.222927505187196,14.8511008474221,1.85168414513481,0.0719011181883309,0.170304251093515,-5.21874316455334
"MPST","MPST",0.135252101819837,16.2418218901703,1.85145940832677,0.0719341776577341,0.170332924608133,-5.21913037688828
"IFT22","IFT22",-0.141602758928045,14.6032680197892,-1.85000882657374,0.0721478743134012,0.17078918762191,-5.22162872941913
"CCDC167","CCDC167",-0.10929418527412,16.9495413974815,-1.84944965637772,0.0722303943510004,0.17093475274506,-5.22259135922235
"HELB","HELB",-0.133542293433493,15.5098366163432,-1.84897177918793,0.0723009811860878,0.171052001182104,-5.2234138485631
"GALNT7","GALNT7",0.189249486489517,15.7803243851763,1.84795768589536,0.0724509666478564,0.171331917477653,-5.22515865021534
"WBP2","WBP2",0.0924296376422085,17.5960595520525,1.8477613975753,0.072480028476254,0.171331917477653,-5.22549628272347
"MAGEB16","MAGEB16",0.211559277184953,16.1854041559913,1.84721823528742,0.0725604991033675,0.171331917477653,-5.22643041218758
"MAGEB18","MAGEB18",0.211559277184953,16.1854041559913,1.84721823528742,0.0725604991033675,0.171331917477653,-5.22643041218758
"MAGEC1","MAGEC1",0.211559277184953,16.1854041559913,1.84721823528742,0.0725604991033675,0.171331917477653,-5.22643041218758
"MAGEB17","MAGEB17",0.211559277184953,16.1854041559913,1.84721823528742,0.0725604991033675,0.171331917477653,-5.22643041218758
"UNG","UNG",0.151999983180868,16.3949289790997,1.84707540977379,0.0725816716265086,0.171331917477653,-5.22667600527261
"SERINC1","SERINC1",-0.201821385418178,14.5977480144568,-1.84703333092267,0.0725879104186291,0.171331917477653,-5.22674835820186
"MB21D2","MB21D2",0.165206605880401,15.4282490506418,1.84597998188391,0.0727442333050291,0.171651051534566,-5.22855910329643
"LSM1","LSM1",-0.154008000664929,15.8668580322519,-1.84499444159172,0.072890752372528,0.171926987447382,-5.23025250386937
"C7orf50","C7orf50",0.129804020146231,16.2611282538615,1.8449089628077,0.0729034722267344,0.171926987447382,-5.23039934194885
"ARPC4","ARPC4",-0.188727204693336,17.4532949863919,-1.84443448128563,0.0729741128194438,0.172022806442271,-5.23121431785781
"TEX30","TEX30",0.214516651217334,15.9909928923351,1.8443518135986,0.0729864263032838,0.172022806442271,-5.2313562911409
"NDUFB8","NDUFB8",0.240074882481327,16.8378841417709,1.84370276776414,0.0730831641636649,0.17220088159027,-5.23247077669347
"ANKRD17","ANKRD17",-0.102000855514301,16.2724149455346,-1.8428355757252,0.0732125861460107,0.17245584259082,-5.23395933411551
"MPI","MPI",-0.270811267396898,15.3741023136786,-1.84241602848876,0.0732752704156902,0.172553497453403,-5.2346792883043
"PDF","PDF",0.163488992336635,15.7137908418507,1.84184553219741,0.0733605811306743,0.172670679224653,-5.23565805592565
"EMC7","EMC7",-0.144949836815705,16.233271983278,-1.84179919109236,0.0733675145825996,0.172670679224653,-5.23573754959776
"ADCY9","ADCY9",-0.315517963650734,15.1927405140061,-1.84147294182098,0.0734163430425458,0.172735586857556,-5.23629715141344
"CLUH","CLUH",0.116486276772264,17.6492440702455,1.84085719810268,0.0735085743275273,0.172902546501293,-5.2373530859054
"BAZ2B","BAZ2B",-0.230192197982467,14.4417182646657,-1.84031085745894,0.0735904923286607,0.173034283408939,-5.23828975511491
"RPP38","RPP38",0.111746522959962,15.6185355973401,1.84019980040368,0.0736071536508933,0.173034283408939,-5.23848012762384
"RGS19","RGS19",0.156099505340224,15.6216494747349,1.83870955054735,0.0738310387363893,0.173510411647328,-5.24103376724829
"UBE4B","UBE4B",0.174958481474363,15.9063672175651,1.83846119901204,0.0738684056250412,0.173548054718486,-5.24145916599393
"PYGL","PYGL",0.148981832245603,17.487967305932,1.83669889712607,0.0741340231019425,0.174121778039784,-5.24447641785096
"TRIM38","TRIM38",-0.11492209680711,14.2801041535695,-1.83608891604695,0.0742261495392908,0.174257132254188,-5.24552020925958
"NFATC4","NFATC4",0.315069935925173,14.4102748786199,1.83589536905609,0.0742554015847585,0.174257132254188,-5.24585134381427
"COG7","COG7",-0.168842581088432,15.3637201093572,-1.83589166898474,0.0742559608966058,0.174257132254188,-5.24585767388721
"BRD7","BRD7",0.173388051876881,15.7431957288309,1.83574135033896,0.0742786864588643,0.174260156486034,-5.24611482965563
"NOP14","NOP14",0.120332071592806,16.8478514155157,1.83395649682456,0.0745489772950123,0.174822798538796,-5.24916690283416
