"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","group","Pos_neg"
"ENSG00000145723",0.047803,2.854228,0.3941838,0.6976984,0.7446537,-7.607012,"GIN1","Not_significant",NA
"ENSG00000184162",-0.08385148,4.186404,-0.9846345,0.3367951,0.4008821,-7.60777,"NR2C2AP","Not_significant",NA
"ENSG00000279800",-0.07466336,3.415857,-0.7093875,0.4864322,0.5498914,-7.609052,NA,"Not_significant",NA
"ENSG00000266707",-0.06233031,2.868261,-0.4003785,0.6932053,0.7406191,-7.609177,NA,"Not_significant",NA
"ENSG00000259623",-0.07459495,3.627498,-0.7961674,0.435466,0.5004111,-7.609254,NA,"Not_significant",NA
"ENSG00000270189",-0.02953357,2.715471,-0.2496958,0.8054191,0.8388217,-7.609792,NA,"Not_significant",NA
"ENSG00000213493",0.06802549,3.487907,0.7391669,0.4685604,0.5323676,-7.609845,NA,"Not_significant",NA
"ENSG00000197818",0.07792657,5.206275,1.230109,0.2332073,0.2911806,-7.610019,"SLC9A8","Not_significant",NA
"ENSG00000002549",-0.06640762,6.036698,-1.366764,0.1871632,0.2396865,-7.610506,"LAP3","Not_significant",NA
"ENSG00000160691",-0.05461978,8.628756,-1.616829,0.121886,0.1637893,-7.611094,"SHC1","Not_significant",NA
"ENSG00000029364",0.06445707,6.118434,1.377189,0.1839696,0.2361426,-7.611526,"SLC39A9","Not_significant",NA
"ENSG00000146066",-0.07277979,5.037851,-1.194554,0.2465078,0.3054469,-7.61209,"HIGD2A","Not_significant",NA
"ENSG00000188295",-0.05797179,3.116901,-0.5565671,0.5841185,0.6417272,-7.612564,"ZNF669","Not_significant",NA
"ENSG00000166188",-0.07681104,3.971703,-0.9082097,0.3747922,0.4397802,-7.617299,"ZNF319","Not_significant",NA
"ENSG00000082258",-0.07130314,5.055351,-1.192613,0.24725,0.3062524,-7.618673,"CCNT2","Not_significant",NA
"ENSG00000154640",0.07565431,5.075588,1.195317,0.2462163,0.3051312,-7.620212,"BTG3","Not_significant",NA
"ENSG00000135837",0.08043747,6.280902,1.391764,0.1795776,0.231309,-7.620364,"CEP350","Not_significant",NA
"ENSG00000141098",-0.07082435,4.999448,-1.179207,0.2524228,0.3120085,-7.620511,"GFOD2","Not_significant",NA
"ENSG00000111962",-0.02873748,2.739789,-0.2388996,0.813662,0.8456142,-7.620541,"UST","Not_significant",NA
"ENSG00000153363",0.06561562,3.446398,0.7060749,0.4884446,0.5516785,-7.621065,"LINC00467","Not_significant",NA
"ENSG00000131779",0.07959329,4.430518,1.040453,0.310786,0.373861,-7.621555,"PEX11B","Not_significant",NA
"ENSG00000135587",0.04832469,2.963465,0.440763,0.6642044,0.7144109,-7.622475,"SMPD2","Not_significant",NA
"ENSG00000103037",0.06870951,5.158289,1.208926,0.241064,0.299483,-7.623984,"SETD6","Not_significant",NA
"ENSG00000185164",-0.1755787,3.902852,-0.8764472,0.3913954,0.4563626,-7.624742,"NOMO2","Not_significant",NA
"ENSG00000157450",0.07213506,6.239937,1.383123,0.1821712,0.234214,-7.624926,"RNF111","Not_significant",NA
"ENSG00000256745",-0.04458639,2.943373,-0.417406,0.6809151,0.729693,-7.626395,NA,"Not_significant",NA
"ENSG00000111911",0.07566409,3.650631,0.7836706,0.4425949,0.5072004,-7.626434,"HINT3","Not_significant",NA
"ENSG00000104524",-0.07916688,5.238287,-1.222411,0.2360395,0.2941204,-7.626794,"PYCR3","Not_significant",NA
"ENSG00000183072",-0.06888575,5.213849,-1.216567,0.2382071,0.2963768,-7.62804,"NKX2-5","Not_significant",NA
"ENSG00000162599",0.04586058,2.844761,0.3300381,0.7448703,0.7857162,-7.62811,"NFIA","Not_significant",NA
"ENSG00000213401",0.06353811,6.161639,1.369451,0.1863358,0.2387926,-7.629407,"MAGEA12","Not_significant",NA
"ENSG00000113971",0.04640926,2.938465,0.4057993,0.6892829,0.7369022,-7.629696,"NPHP3","Not_significant",NA
"ENSG00000254598",-0.06263159,3.324137,-0.6351841,0.5326494,0.5938177,-7.630958,"CSNK2A3","Not_significant",NA
"ENSG00000142534",0.07083953,9.815397,1.683477,0.1081328,0.1473209,-7.631574,"RPS11","Not_significant",NA
"ENSG00000164169",0.05892261,3.250603,0.5964991,0.5576647,0.617193,-7.631879,"PRMT9","Not_significant",NA
"ENSG00000260910",-0.05884371,3.164035,-0.5484459,0.5895747,0.6468664,-7.632538,"LINC00565","Not_significant",NA
"ENSG00000183978",0.09152804,5.194835,1.208673,0.241159,0.2995562,-7.632818,"COA3","Not_significant",NA
"ENSG00000173221",-0.07592838,4.378937,-1.015218,0.3223626,0.3856934,-7.632945,"GLRX","Not_significant",NA
"ENSG00000157379",-0.06626035,3.262567,-0.6008399,0.5548273,0.6148717,-7.633074,"DHRS1","Not_significant",NA
"ENSG00000145425",0.07336964,4.211767,0.9659832,0.3458135,0.4100374,-7.633253,"RPS3A","Not_significant",NA
"ENSG00000070756",0.04905146,11.02249,1.758884,0.09419006,0.1302145,-7.6347,"PABPC1","Not_significant",NA
"ENSG00000234327",0.03335677,2.827562,0.292329,0.773105,0.8107343,-7.634769,"LOC101928000","Not_significant",NA
"ENSG00000129353",-0.06681819,5.803795,-1.313648,0.2041245,0.2589929,-7.635129,"SLC44A2","Not_significant",NA
"ENSG00000101811",0.06534639,6.402933,1.394288,0.1788255,0.2304295,-7.637292,"CSTF2","Not_significant",NA
"ENSG00000198105",-0.0725632,3.872124,-0.8523876,0.4042878,0.469583,-7.637332,"ZNF248","Not_significant",NA
"ENSG00000213598",-0.04216225,2.923442,-0.3747484,0.711869,0.75687,-7.637485,NA,"Not_significant",NA
"ENSG00000067840",0.00166316,2.702049,0.01240241,0.9902299,0.9922597,-7.637947,"PDZD4","Not_significant",NA
"ENSG00000128891",0.07177152,3.770777,0.8149353,0.4248948,0.4901219,-7.638121,"CCDC32","Not_significant",NA
"ENSG00000006712",-0.05892765,6.918915,-1.451527,0.1624415,0.2115814,-7.638533,"PAF1","Not_significant",NA
"ENSG00000146555",-0.05064576,2.992415,-0.4244897,0.6758287,0.7251306,-7.639355,"SDK1","Not_significant",NA
"ENSG00000170684",-0.06519245,3.242752,-0.5790303,0.5691598,0.6279498,-7.640036,"ZNF296","Not_significant",NA
"ENSG00000277998",-0.06947991,4.018898,-0.8985176,0.3798082,0.444818,-7.640161,NA,"Not_significant",NA
