"","Untreated__WT","Untreated__ARID1A_KO","Untreated__MED12_KO","Vermurafenib_1uM__WT","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__MED12_KO","Trametinib_10nM__WT","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__MED12_KO","vemurafenib_and_trametinib__WT","vemurafenib_and_trametinib__ARID1A_KO","vemurafenib_and_trametinib__MED12_KO","Untreated__WT.1","Untreated__ARID1A_KO.1","Untreated__MED12_KO.1","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__MED12_KO.1","Trametinib_10nM__WT.1","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__MED12_KO.1","vemurafenib_and_trametinib__WT.1","vemurafenib_and_trametinib__ARID1A_KO.1","vemurafenib_and_trametinib__MED12_KO.1","Untreated__WT.2","Untreated__ARID1A_KO.2","Untreated__MED12_KO.2","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO.2","vemurafenib_and_trametinib__WT.2","vemurafenib_and_trametinib__ARID1A_KO.2","vemurafenib_and_trametinib__MED12_KO.2"
"SSRP1",9.46572250089057,9.44491933051816,9.47815851672388,9.82240436164707,9.70211711224445,9.68360268289211,9.72637400120997,9.61883467934278,9.57972349367779,9.80497568538879,9.73134182315491,9.65922768282957,9.42768807316921,9.4398888093477,9.40790784334433,9.8009433490132,9.74197196094761,9.72668467733099,9.69569666641749,9.65097753757144,9.59805564977636,9.80302462437817,9.79204804054616,9.71415564008713,9.37022362431759,9.33931598952148,9.34246714323073,9.68346819939434,9.79543276891358,9.62865084277823,9.59998744062036,9.63881540191837,9.57308093235298,9.78260246905141,9.73877381000036,9.6971368457835
"ST18",8.10740974662122,7.45405794247874,8.14275439207225,7.93169623710727,7.6764909118197,8.00561339135934,8.10755236986335,7.6569423910798,8.0661853246661,8.09379894510782,7.56172647074321,8.15366996030102,8.34722554208265,7.59373870887731,8.08114867571222,7.98056285826707,7.58603862522407,7.89128460909857,7.93038515647636,7.40967390874542,8.26906421515899,8.18328169035511,7.42174179698692,8.07400923219,8.15312057003536,7.52747074696275,7.96542896986454,8.03383947630831,7.33972255842508,8.0360267227689,7.90284400365476,7.50998305964002,8.06988087808411,8.06698361655673,7.4220042326916,8.08640398337236
"STAT1",0.216015305659936,0.593023241886372,0.535696048737211,-0.0492571602277786,0.463124944103259,0.188801466496182,-0.0223281787962551,0.231104736957132,0.13391784415819,-0.143278828643551,0.24219663513554,0.0885562006054373,0.23747484268262,0.585950703892277,0.540217848772118,-0.00138714812464331,0.262714879354362,0.199730565733435,-0.155292583153695,0.185490962271629,0.0955193647193163,-0.130247919442829,0.118776151304312,0.129500456063159,0.268749063233368,0.65676964291682,0.539037258461257,-0.0698681086191771,0.309786841954919,0.0781390497138497,-0.0991988283007546,0.159684448723025,0.0272751576812464,-0.158856824658343,0.164081852177647,0.0697658674856794
"STAT2",-0.236875913511154,-0.335147061533044,0.00792758511461365,0.266640510158939,-0.0944436648678895,0.497358555018001,0.323123152218004,0.0489971434689572,0.598030437101943,0.206796033951892,-0.00752688384709421,0.491881572439478,-0.262916461828835,-0.307319968750184,0.0373196054220101,0.219837087867894,0.0801431281227255,0.582794609521088,0.194734222017046,0.159636830391521,0.562332869032404,0.296944439753796,0.104084447942476,0.556553965121882,-0.20210555141531,-0.216277137682667,0.0173980738752423,0.292888564852473,0.219155985152325,0.546070877886179,0.264916922705558,0.0924073503331719,0.557453526138615,0.282906617004903,0.0803222597370938,0.491718988933659
"STAT3",1.16624304259898,1.57827322474758,1.2736476404997,0.498316561251536,1.02310491852722,0.458910274011713,0.471258571036854,0.566615572135215,0.374627664459031,0.44019124971873,0.589229524233898,0.398469828407532,1.29070181213754,1.55095518545928,1.20406277028225,0.459001233209726,0.555343084171142,0.406125257712715,0.495743723480445,0.724696421723498,0.231938732829373,0.463106604645096,0.593013296655846,0.260316228247661,1.25465548387531,1.60983383252647,1.31363923493528,0.435353078873634,0.705869097549936,0.322169704966742,0.421258816305387,0.467941740171941,0.305876183521202,0.422417173953205,0.493964632586584,0.307945882858746
"TADA2A",7.56195222352361,7.67516758379228,7.26299936882653,7.19714936307592,7.29952773353307,6.88930777327466,7.10443736706097,7.26172216552551,6.99716959795346,7.13613015732193,7.15411671338572,6.88261814151653,7.58579349476556,7.65423800240141,7.22819877951866,7.07944428943059,7.23553642290342,7.00055079183321,7.18912180917282,7.2373923184883,6.96416758459191,7.0911354340587,7.26442361667742,6.97891088872849,7.39357329452926,7.54331914479098,7.05284027543916,6.93250168615085,7.10154932521237,6.9180821562236,7.13051283726133,7.31010988829087,6.95051690043758,7.11766326956305,7.1745015378105,7.07116122937202
"TADA2B",9.94622586733704,9.78272267258937,9.76344502598655,10.5793251598988,9.87911162492848,10.3980146140523,10.3874525441094,10.1578450028458,10.286972989326,10.3714774463517,10.2519409547915,10.2849334935656,9.50930188530463,9.69140259593954,9.63446668049849,10.5639395417198,10.2328192243353,10.2831352324032,10.6568860755816,10.2493719407823,10.1869850956417,10.4875751843409,10.2686333900201,10.3269921036423,9.62964137211226,9.62023624909463,9.63975076891725,10.2910639832148,10.3825515479767,10.144357704957,10.5286062585845,10.2959340860326,10.277512613802,10.6158150464498,10.3220769413149,10.2630502213852
"TAF1",6.46437854812952,6.43484816351025,6.55052147453735,6.61552596185157,6.36561056554743,6.65966330352977,6.49636124714411,6.42329718101375,6.54542699053885,6.56481631262623,6.38508897838389,6.5296789059009,6.28043525799856,6.38869721863063,6.44728145201049,6.48999983384067,6.45809130383821,6.5900407842587,6.67297754517675,6.53103300062372,6.56555490093001,6.52998758888685,6.42252571845946,6.5628686257307,6.55165948494712,6.49124380108194,6.60055611378895,6.71592860780177,6.34643125170191,6.71284364792722,6.82809475346267,6.5090449341769,6.57266263069089,6.59428285178374,6.44761042409682,6.52150093538878
"TBP",2.18253803458124,2.25109089638636,2.36936164629853,1.35206936682383,1.98559570818775,1.42899219908499,1.23332651179186,1.53190781276085,1.39458297783652,1.2660151880279,1.44191627595286,1.33708327529225,2.13889064508436,2.16680883384348,2.34180178084775,1.29288245012501,1.46419887960501,1.40321425454872,1.43115465422625,1.47829862037973,1.47157851295761,1.24142340663894,1.49238917047567,1.39083777710337,2.18974919137912,2.32465075912286,2.44475589552988,1.36158137084431,1.45580762679498,1.37273390883546,1.39594686742606,1.49416076789693,1.34756575394878,1.19281448218246,1.36552913451202,1.367612862788
"TBPL1",3.22443870531775,3.0411732941294,3.02629285699647,2.29146999825577,2.60420254080856,2.37619281472988,2.13483626011961,2.20834570699888,2.36142444926128,2.14695903159248,2.04687289570229,2.30323350077336,3.2976487208036,3.00334224974441,2.77976163901923,2.12832025552296,2.47299129180129,2.30897619294281,2.42491948370981,2.29790784182182,2.34290894368984,2.25112510268469,2.48690475168412,2.36412945167438,2.8029295083576,2.77582434310838,2.63137705024159,1.78952903383343,2.6075630459532,2.1416582059573,2.20423940345761,2.4106045708314,2.27525206596862,2.30774174174979,2.22756418650264,2.4351317140333
